Batsman,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played
Abdul Razzaq,2.24324324324,0.0810810810811,20.1891891892,80.4090419806,37
Nazimuddin,2.0,0,14.5,62.2317596567,10
DR Tuffey,1.3,0,12.8,112.280701754,10
Mohammad Irfan,0.259259259259,0,1.66666666667,31.4685314685,27
Alok Kapali,2.38461538462,0.0769230769231,20.7692307692,76.2711864407,13
DM Bravo,2.92647058824,0.235294117647,28.5147058824,67.2563302116,68
MS Sinclair,2.4,0.2,24.4,91.7293233083,5
Mohammad Hafeez,3.92561983471,0.239669421488,33.1074380165,77.6206161597,121
HD Rutherford,1.0,0,5.5,32.3529411765,2
JL Pattinson,0.333333333333,0,6.5,54.1666666667,6
Mohammad Rizwan,2.75,0.25,26.0833333333,88.9204545455,12
GH Bodi,5.0,0.5,41.5,61.0294117647,2
S Matsikenyeri,2.04651162791,0.116279069767,20.5813953488,76.3589301122,43
PP Chawla,0.272727272727,0,3.18181818182,70.0,11
CS Baugh,0.842105263158,0,11.4210526316,56.9553805774,19
RP Arnold,1.16666666667,0.166666666667,17.4166666667,71.8213058419,12
S Dhawan,5.73846153846,0.369230769231,43.8307692308,88.643434972,65
RMS Eranga,0.444444444444,0,3.77777777778,51.5151515152,9
JM Bairstow,3.125,0.125,25.875,97.1830985915,8
Mithun Ali,5.0,0,26.0,60.4651162791,1
TS Nethula,0.5,0,4.5,112.5,2
PVD Chameera,0.333333333333,0,5.0,42.8571428571,3
RR Powar,0.125,0,4.375,42.1686746988,8
TG Southee,0.813953488372,0,7.27906976744,96.6049382716,43
SE Marsh,3.84444444444,0.311111111111,37.0888888889,75.452079566,45
BRM Taylor,3.44827586207,0.264367816092,34.8620689655,78.8201663202,87
CA Ingram,2.84,0.2,26.92,81.5757575758,25
SC Ganguly,4.65217391304,0.347826086957,36.7391304348,68.2001614205,23
TM Dowlin,2.1,0.2,22.7,62.7071823204,10
MV Boucher,2.2641509434,0.0943396226415,22.5283018868,89.0380313199,53
Kamran Hussain,2.0,0,27.0,128.571428571,1
GC Tonge,0.333333333333,0,3.0,56.25,3
AD Mathews,2.63025210084,0.193277310924,28.6134453782,81.9494584838,119
T Duffin,4.0,0.25,35.75,62.1739130435,4
NT Broom,1.58823529412,0.0588235294118,17.2941176471,66.0674157303,17
Junaid Khan,0.222222222222,0,2.77777777778,47.619047619,18
JA Burns,3.4,0.2,27.4,80.1169590643,5
MDK Perera,1.0,0,11.0,54.3209876543,4
C de Grandhomme,4.0,0,36.0,92.3076923077,1
Mominul Haque,2.27777777778,0.0555555555556,20.9444444444,70.0743494424,18
Yasir Shah,1.16666666667,0,12.6666666667,91.5662650602,6
TL Best,0.375,0,4.0,42.6666666667,8
R Vinay Kumar,0.7,0,8.5,57.4324324324,10
GH Worker,2.0,0,20.5,62.1212121212,2
GC Wilson,2.1,0.25,22.0,80.4387568556,20
MK Tiwary,2.14285714286,0.142857142857,22.0,70.6422018349,7
Iftikhar Anjum,0.7,0,7.7,59.0038314176,20
Bilawal Bhatti,2.2,0,15.6,139.285714286,5
Bilal Asif,3.5,0,19.0,86.3636363636,2
D Bishoo,0.285714285714,0,1.42857142857,37.037037037,7
SI Mahmood,0.888888888889,0,7.11111111111,81.0126582278,9
TV Mufambisi,1.5,0,11.25,63.3802816901,4
Mehrab Hossain jnr,1.77777777778,0.111111111111,18.8888888889,41.769041769,9
MR Gillespie,1.0,0,8.88888888889,87.9120879121,9
Saeed Ajmal,0.379310344828,0,4.93103448276,61.2419700214,58
N Mushangwe,1.25,0,9.5,86.3636363636,4
RW Chakabva,0.909090909091,0,14.1818181818,51.3157894737,22
Mohammad Rafique,0.5,0,8.16666666667,63.2258064516,12
S Chanderpaul,3.63793103448,0.413793103448,41.7413793103,68.4284906727,58
DA Warner,3.84210526316,0.210526315789,31.8771929825,85.9914813062,57
FL Reifer,1.16666666667,0,14.3333333333,45.2631578947,6
J Mubarak,1.16666666667,0.0833333333333,19.0,68.0597014925,12
TAM Siriwardana,3.625,0.25,31.0,114.285714286,8
EJG Morgan,3.00819672131,0.213114754098,28.6721311475,85.4421104055,122
SL Stewart,0.5,0,6.5,44.0677966102,4
KC Sangakkara,4.36756756757,0.356756756757,41.7081081081,81.8152900011,185
Fawad Ahmed,1.0,0,4.0,200.0,1
AT Rayudu,3.0,0.260869565217,31.8695652174,73.6683417085,23
SR Tendulkar,6.35443037975,0.405063291139,49.0759493671,85.3400836452,79
RK Kleinveldt,1.66666666667,0,13.1666666667,73.1481481481,6
AD Mascarenhas,1.83333333333,0.0833333333333,18.5,89.5161290323,12
KED Carroll,0.5,0,10.5,77.7777777778,2
BCJ Cutting,2.5,0,26.5,79.1044776119,2
CD Collymore,0.333333333333,0,3.22222222222,59.1836734694,9
Mustafizur Rahman,0.666666666667,0,4.66666666667,42.4242424242,3
L Vincent,2.92857142857,0.214285714286,27.0,67.6207513417,14
T Mupariwa,0.416666666667,0,3.58333333333,39.0909090909,12
DSNFG Jayasuriya,1.0,0,5.5,64.7058823529,2
T Panyangara,0.7,0,5.25,52.2388059701,20
Naumanullah,1.0,0,4.0,100.0,1
Tanvir Ahmed,3.0,0,18.0,150.0,1
Younis Khan,2.55339805825,0.203883495146,26.6504854369,72.1798580068,103
Wahab Riaz,1.32608695652,0.0434782608696,11.2826086957,80.7153965785,46
