Team,Total Matches Played,Runs Scored,Wickets Lost,Got All Out,Runs Conceded,Opponent Wickets Taken,Opponent All Out,Batsman,Player Total Runs,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment,Total HR till Segment,Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Home,Segment,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played,ClusterID
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,M Kaif,54,8,46,80,164,3,25,0,0,11,11,82,118,200,0,245,15,0,8,1.77778,0.222222,23.8889,61.4286,9,1
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,MS Dhoni,12,4,8,19,164,3,25,0,0,11,11,82,118,200,0,245,15,0,8,3.47872,0.292553,36.7713,84.1612,188,4
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,IK Pathan,0,0,0,0,164,3,25,0,0,11,11,82,118,200,0,245,15,0,8,1.875,0.025,16.85,78.2811,40,1
West Indies,176,217.33,7.15909,0.3125,225.278,7.57386,0.380682,RR Sarwan,72,40,32,79,119,4,28,0,4,14,18,90,75,165,246,248,15,1,8,2.8254,0.222222,29.1429,69.1005,63,4
West Indies,176,217.33,7.15909,0.3125,225.278,7.57386,0.380682,S Chanderpaul,19,12,7,25,119,4,28,0,4,14,18,90,75,165,246,248,15,1,8,3.57143,0.396825,40.8254,68.0783,63,4
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,MS Dhoni,3,0,3,11,107,3,14,1,8,16,24,52,93,145,0,217,15,0,8,3.47872,0.292553,36.7713,84.1612,188,4
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,M Kaif,33,12,21,54,107,3,14,1,8,16,24,52,93,145,0,217,15,0,8,1.77778,0.222222,23.8889,61.4286,9,1
West Indies,176,217.33,7.15909,0.3125,225.278,7.57386,0.380682,DJ Bravo,29,4,25,40,111,3,27,0,22,15,37,88,87,175,218,218,13,1,8,2.35514,0.11215,23.1589,80.9011,107,4
West Indies,176,217.33,7.15909,0.3125,225.278,7.57386,0.380682,BC Lara,48,20,28,83,111,3,27,0,22,15,37,88,87,175,218,218,13,1,8,3.35714,0.178571,29.3571,75.7604,28,4
West Indies,176,217.33,7.15909,0.3125,225.278,7.57386,0.380682,DJ Bravo,5,0,5,4,109,2,22,1,6,18,24,54,101,155,0,255,18,1,8,2.35514,0.11215,23.1589,80.9011,107,4
West Indies,176,217.33,7.15909,0.3125,225.278,7.57386,0.380682,BC Lara,23,4,19,49,109,2,22,1,6,18,24,54,101,155,0,255,18,1,8,3.35714,0.178571,29.3571,75.7604,28,4
West Indies,176,217.33,7.15909,0.3125,225.278,7.57386,0.380682,WW Hinds,0,0,0,0,109,2,22,1,6,18,24,54,101,155,0,255,18,1,8,1.11111,0,12,38.9892,9,3
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,V Sehwag,88,42,46,103,140,4,20,1,4,14,18,78,100,178,256,236,19,0,8,5.88636,0.238636,38.8295,108.649,88,0
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,SK Raina,2,0,2,13,140,4,20,1,4,14,18,78,100,178,256,236,19,0,8,3.11111,0.216374,28.9064,91.8944,171,0
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,AB Agarkar,0,0,0,0,140,4,20,1,4,14,18,78,100,178,256,236,19,0,8,0.3125,0,5.75,44.6602,16,3
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,Harbhajan Singh,0,0,0,0,140,4,20,1,4,14,18,78,100,178,256,236,19,0,8,0.901639,0,9.98361,76.4115,61,1
West Indies,176,217.33,7.15909,0.3125,225.278,7.57386,0.380682,MN Samuels,35,24,11,39,94,3,35,0,0,19,19,82,66,148,0,241,8,1,8,3.74757,0.23301,31.6214,74.5821,103,4
West Indies,176,217.33,7.15909,0.3125,225.278,7.57386,0.380682,BC Lara,24,14,10,43,94,3,35,0,0,19,19,82,66,148,0,241,8,1,8,3.35714,0.178571,29.3571,75.7604,28,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Shoaib Malik,19,8,11,21,102,4,19,2,4,15,19,54,86,140,242,187,3,0,8,2.77551,0.193878,28.7041,81.4418,98,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Naved-ul-Hasan,3,0,3,7,102,4,19,2,4,15,19,54,86,140,242,187,3,0,8,1.15,0,11.35,83.4559,20,1
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,AR White,17,4,13,37,104,5,17,0,16,15,31,80,72,152,0,221,10,0,8,1.17647,0,14.1765,59.9502,17,1
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,JP Bray,71,36,35,103,104,5,17,0,16,15,31,80,72,152,0,221,10,0,8,2.7,0.1,23.4,63.0728,10,1
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,DT Johnston,0,0,0,0,104,5,17,0,16,15,31,80,72,152,0,221,10,0,8,1.27273,0,12.1818,74.2382,22,1
Zimbabwe,142,212.077,7.5,0.380282,227.704,6.97887,0.316901,BRM Taylor,8,4,4,13,125,5,24,0,12,5,17,94,72,166,222,221,9,0,8,3.3,0.26,33.56,76.3421,100,4
