Batsman,Home Run Hitting Ability,Milestone Reaching Ability,Matches Played
IS Billcliff,1.75,0.25,4
Jahurul Islam,2.18181818182,0.0909090909091,11
KA Pollard,2.78481012658,0.126582278481,79
SM Davies,4.5,0.125,8
CT Mutombodzi,1.16666666667,0,6
Usman Limbada,3.25,0.25,4
SR Watson,4.73134328358,0.283582089552,134
NLTC Perera,1.67088607595,0.0632911392405,79
Gurkeerat Singh,1.0,0,2
SO Ngoche,0.6,0,5
R McLaren,1.2,0.025,40
KJ Abbott,0.6,0,10
VR Aaron,0.333333333333,0,3
JC Buttler,3.44262295082,0.180327868852,61
KM Dabengwa,1.2380952381,0,21
Arshad Ali,2.5,0,2
GC Smith,4.07766990291,0.300970873786,103
A Symonds,3.44186046512,0.302325581395,43
AJ Redmond,3.16666666667,0.166666666667,6
Inzamam-ul-Haq,3.16666666667,0,12
MM Sharma,0.625,0,8
CJ Smith,0.8,0,5
MEK Hussey,2.73983739837,0.260162601626,123
MM Ali,3.08571428571,0.142857142857,35
AM Phangiso,0.555555555556,0,9
JDP Oram,2.66,0.18,50
MJ McClenaghan,0.928571428571,0,14
Asghar Stanikzai,1.92307692308,0.115384615385,26
SS Tiwary,3.0,0,2
NM Coulter-Nile,0.571428571429,0,7
Khurram Manzoor,3.33333333333,0.5,6
DJ Bravo,2.35514018692,0.11214953271,107
J Nyumbu,0.142857142857,0,14
Shamsur Rahman,3.2,0.2,10
BJ Hodge,3.6,0.2,15
DJ Willey,0.571428571429,0,7
HM Amla,5.17213114754,0.401639344262,122
AR McBrine,1.0,0,4
AA Mulla,3.125,0.125,8
GJ Bailey,3.34375,0.296875,64
MO Jones,1.33333333333,0,6
PJ Ingram,4.28571428571,0.142857142857,7
JP Bray,2.7,0.1,10
SE Marsh,3.66666666667,0.291666666667,48
Umair Ali,1.0,0,1
R Dravid,2.77777777778,0.244444444444,45
PL Mommsen,2.61111111111,0.166666666667,18
RP Singh,0.333333333333,0,15
B Geeves,1.0,0,1
GA Rogers,2.5,0,2
SHT Kandamby,2.23333333333,0.166666666667,30
SB Styris,3.33928571429,0.267857142857,56
PJK Mooney,0.5,0,2
AR Pitcher,3.0,0,1
TLW Cooper,3.0,0.111111111111,9
Raqibul Hasan,2.02083333333,0.145833333333,48
Fawad Alam,1.88571428571,0.2,35
Mohammad Salman,0.666666666667,0,3
HM Nicholls,2.625,0.25,8
JM Kemp,2.45833333333,0.166666666667,24
Skhawat Ali,0.666666666667,0,3
WTS Porterfield,3.14583333333,0.229166666667,48
Yuvraj Singh,4.15873015873,0.261904761905,126
Mohammad Nabi,2.46875,0.09375,32
Saqib Ali,2.25,0,4
Tushar Imran,0.8,0,5
Sharafuddin Ashraf,0.333333333333,0,3
DS Smith,2.8,0.171428571429,35
SW Masakadza,1.8,0,10
N Mushangwe,1.25,0,4
J Louw,4.0,0,1
MS Dhoni,3.5824742268,0.29381443299,194
AC Voges,2.29166666667,0.125,24
AJ Strauss,4.0,0.28,75
AO Suji,2.0,0,2
Nasir Jamal,2.75,0.25,4
Fayyaz Ahmed,3.0,0,2
GO Jones,1.5,0,6
A Shahzad,0.375,0,8
S Prasanna,1.19047619048,0,21
SCJ Broad,0.714285714286,0,63
Danish Kaneria,1.0,0,1
Saad Nasim,3.33333333333,0.333333333333,3
Afsar Zazai,1.27272727273,0.181818181818,11
MP Vaughan,2.75,0.0833333333333,12
NJ O'Brien,2.55555555556,0.2,45
HMRKB Herath,0.444444444444,0,27
A Balbirnie,2.375,0.125,16
BA Parchment,2.33333333333,0,6
Mohammad Yousuf,3.3064516129,0.290322580645,62
Z Khan,0.975,0,40
DJ Reekers,1.6,0,5
A Bagai,3.27777777778,0.277777777778,18
SE Bond,0.5,0,20
OO Bascome,2.0,0,1
Shahadat Hossain,0.375,0,16
SR Thompson,2.11111111111,0,9
BP Loots,0.666666666667,0,3
Tanwir Afzal,0.5,0,2
ML Nkala,1.0,0,2
Sharjeel Khan,2.63636363636,0.0909090909091,11
AD Russell,3.32558139535,0.093023255814,43
DT Tiripano,0.6,0,5
Babar Azam,4.375,0.5,8
SW Tait,0.666666666667,0,6
BP Kruger,1.0,0,1
Rahmat Shah,1.0,0,3
R Ashwin,1.16363636364,0.0181818181818,55
DT Christian,1.44444444444,0,18
PR Stirling,4.0,0.166666666667,36
GEF Barnett,2.0,0,5
JH Stander,1.0,0,3
CL White,2.6,0.185714285714,70
KM Jadhav,4.5,0.25,4
YK Pathan,2.56097560976,0.121951219512,41
Imran Nazir,4.66666666667,0.133333333333,15
CK Hooper,0.5,0,2
Imran Farhat,3.25,0.28125,32
CMW Read,1.0,0,6
AM Rahane,3.58064516129,0.274193548387,62
F Mutizwa,1.4,0.1,10
W Barresi,4.0,0.166666666667,12
Abdul Shakoor,3.0,0,1
AU Rashid,2.41176470588,0.0588235294118,17
Gulbadin Naib,2.42857142857,0.142857142857,7
AC Cummins,0.666666666667,0,3
RD McCann,0.5,0,2
Khalid Latif,2.6,0.2,5
Amjad Javed,3.85714285714,0.142857142857,7
Mashrafe Mortaza,1.31081081081,0,74
CD McMillan,3.88888888889,0.222222222222,18
MJ Henry,1.33333333333,0,9
GB Brent,0.75,0.0625,16
MA Wood,1.0,0,3
M Vijay,2.25,0.0625,16
JPR Lamsam,3.0,0,1
DP Hyatt,1.55555555556,0,9
SC Ganguly,4.96428571429,0.392857142857,28
MD Gunathilaka,3.6,0.2,5
H Patel,2.55555555556,0.111111111111,9
Sohail Tanvir,1.31578947368,0.0263157894737,38
JL Denly,3.55555555556,0.222222222222,9
Mohammad Naveed,2.14285714286,0,7
AP Devcich,3.125,0.125,8
DI Joyce,1.33333333333,0,3
NFI McCallum,3.4,0.1,10
Aftab Ahmed,2.44736842105,0.0789473684211,38
SG Borthwick,1.0,0,2
RML Taylor,1.0,0,10
C Kieswetter,3.43243243243,0.135135135135,37
Abdul Razzaq,2.16666666667,0.0714285714286,42
BM Wheeler,1.75,0,4
