Batsman,Home Run Hitting Ability,Milestone Reaching Ability,Matches Played,ClusterID
CJ Smith,0.8,0.0,5,4
MEK Hussey,2.73983739837,0.260162601626,123,2
MM Ali,3.08571428571,0.142857142857,35,1
AM Phangiso,0.555555555556,0.0,9,4
JDP Oram,2.66,0.18,50,2
MJ McClenaghan,0.928571428571,0.0,14,0
Asghar Stanikzai,1.92307692308,0.115384615385,26,2
SS Tiwary,3.0,0.0,2,1
NM Coulter-Nile,0.571428571429,0.0,7,4
Khurram Manzoor,3.33333333333,0.5,6,1
DJ Bravo,2.35514018692,0.11214953271,107,2
J Nyumbu,0.142857142857,0.0,14,4
Shamsur Rahman,3.2,0.2,10,1
BJ Hodge,3.6,0.2,15,1
DJ Willey,0.571428571429,0.0,7,4
HM Amla,5.17213114754,0.401639344262,122,3
AR McBrine,1.0,0.0,4,0
AA Mulla,3.125,0.125,8,1
GJ Bailey,3.34375,0.296875,64,1
MO Jones,1.33333333333,0.0,6,0
PJ Ingram,4.28571428571,0.142857142857,7,1
JP Bray,2.7,0.1,10,2
SE Marsh,3.66666666667,0.291666666667,48,1
Umair Ali,1.0,0.0,1,0
R Dravid,2.77777777778,0.244444444444,45,2
PL Mommsen,2.61111111111,0.166666666667,18,2
RP Singh,0.333333333333,0.0,15,4
B Geeves,1.0,0.0,1,0
GA Rogers,2.5,0.0,2,2
SHT Kandamby,2.23333333333,0.166666666667,30,2
SB Styris,3.33928571429,0.267857142857,56,1
PJK Mooney,0.5,0.0,2,4
AR Pitcher,3.0,0.0,1,1
TLW Cooper,3.0,0.111111111111,9,1
Raqibul Hasan,2.02083333333,0.145833333333,48,2
Fawad Alam,1.88571428571,0.2,35,2
Mohammad Salman,0.666666666667,0.0,3,4
HM Nicholls,2.625,0.25,8,2
JM Kemp,2.45833333333,0.166666666667,24,2
Skhawat Ali,0.666666666667,0.0,3,4
WTS Porterfield,3.14583333333,0.229166666667,48,1
Yuvraj Singh,4.15873015873,0.261904761905,126,1
Mohammad Nabi,2.46875,0.09375,32,2
Saqib Ali,2.25,0.0,4,2
Tushar Imran,0.8,0.0,5,4
Sharafuddin Ashraf,0.333333333333,0.0,3,4
DS Smith,2.8,0.171428571429,35,2
SW Masakadza,1.8,0.0,10,0
N Mushangwe,1.25,0.0,4,0
J Louw,4.0,0.0,1,1
MS Dhoni,3.5824742268,0.29381443299,194,1
AC Voges,2.29166666667,0.125,24,2
AJ Strauss,4.0,0.28,75,1
AO Suji,2.0,0.0,2,2
Nasir Jamal,2.75,0.25,4,2
Fayyaz Ahmed,3.0,0.0,2,1
GO Jones,1.5,0.0,6,0
A Shahzad,0.375,0.0,8,4
S Prasanna,1.19047619048,0.0,21,0
SCJ Broad,0.714285714286,0.0,63,4
Danish Kaneria,1.0,0.0,1,0
Saad Nasim,3.33333333333,0.333333333333,3,1
Afsar Zazai,1.27272727273,0.181818181818,11,0
MP Vaughan,2.75,0.0833333333333,12,2
NJ O'Brien,2.55555555556,0.2,45,2
HMRKB Herath,0.444444444444,0.0,27,4
A Balbirnie,2.375,0.125,16,2
BA Parchment,2.33333333333,0.0,6,2
Mohammad Yousuf,3.3064516129,0.290322580645,62,1
Z Khan,0.975,0.0,40,0
DJ Reekers,1.6,0.0,5,0
A Bagai,3.27777777778,0.277777777778,18,1
SE Bond,0.5,0.0,20,4
OO Bascome,2.0,0.0,1,2
Shahadat Hossain,0.375,0.0,16,4
SR Thompson,2.11111111111,0.0,9,2
BP Loots,0.666666666667,0.0,3,4
Tanwir Afzal,0.5,0.0,2,4
ML Nkala,1.0,0.0,2,0
Sharjeel Khan,2.63636363636,0.0909090909091,11,2
AD Russell,3.32558139535,0.093023255814,43,1
DT Tiripano,0.6,0.0,5,4
Babar Azam,4.375,0.5,8,3
SW Tait,0.666666666667,0.0,6,4
BP Kruger,1.0,0.0,1,0
Rahmat Shah,1.0,0.0,3,0
