Batsman,Player Total Runs ,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment, Total HR till Segment, Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Team,Home,Segment
Yuvraj Singh,33.0,8.0,25.0,48,104.0,4,20.0,0,14.0,7.0,21,46,99,145,0,191,14,India,0,9
MS Dhoni,0.0,0.0,0.0,0,104.0,4,20.0,0,14.0,7.0,21,46,99,145,0,191,14,India,0,9
Harbhajan Singh,0.0,0.0,0.0,0,104.0,4,20.0,0,14.0,7.0,21,46,99,145,0,191,14,India,0,9
AB Agarkar,0.0,0.0,0.0,0,104.0,4,20.0,0,14.0,7.0,21,46,99,145,0,191,14,India,0,9
Z Khan,0.0,0.0,0.0,0,104.0,4,20.0,0,14.0,7.0,21,46,99,145,0,191,14,India,0,9
Mushfiqur Rahim,38.0,16.0,22.0,82,135.0,3,17.0,1,12.0,7.0,19,98,73,171,192,192,13,Bangladesh,0,9
Habibul Bashar,0.0,0.0,0.0,5,135.0,3,17.0,1,12.0,7.0,19,98,73,171,192,192,13,Bangladesh,0,9
Mohammad Ashraful,0.0,0.0,0.0,0,135.0,3,17.0,1,12.0,7.0,19,98,73,171,192,192,13,Bangladesh,0,9
Mohammad Sami,8.0,4.0,4.0,25,88.0,8,9.0,0,0.0,5.0,5,52,50,102,0,132,29,Pakistan,0,9
Iftikhar Anjum,7.0,0.0,7.0,34,88.0,8,9.0,0,0.0,5.0,5,52,50,102,0,132,29,Pakistan,0,9
Umar Gul,0.0,0.0,0.0,0,88.0,8,9.0,0,0.0,5.0,5,52,50,102,0,132,29,Pakistan,0,9
KJ O'Brien,14.0,8.0,6.0,49,102.0,7,9.0,0,6.0,2.0,8,52,67,119,133,133,14,Ireland,0,9
DT Johnston,3.0,0.0,3.0,12,102.0,7,9.0,0,6.0,2.0,8,52,67,119,133,133,14,Ireland,0,9
SC Williams,46.0,16.0,30.0,59,101.0,4,23.0,0,16.0,9.0,25,58,91,149,0,202,18,Zimbabwe,0,9
BRM Taylor,49.0,10.0,39.0,128,101.0,4,23.0,0,16.0,9.0,25,58,91,149,0,202,18,Zimbabwe,0,9
E Chigumbura,0.0,0.0,0.0,0,101.0,4,23.0,0,16.0,9.0,25,58,91,149,0,202,18,Zimbabwe,0,9
DJ Bravo,18.0,10.0,8.0,21,115.0,4,28.0,0,10.0,10.0,20,86,77,163,203,204,21,West Indies,1,9
BC Lara,24.0,4.0,20.0,47,115.0,4,28.0,0,10.0,10.0,20,86,77,163,203,204,21,West Indies,1,9
LPC Silva,13.0,10.0,3.0,14,178.0,1,28.0,1,16.0,19.0,35,116,125,241,0,318,22,Sri Lanka,0,9
KC Sangakkara,38.0,10.0,28.0,45,178.0,1,28.0,1,16.0,19.0,35,116,125,241,0,318,22,Sri Lanka,0,9
ST Jayasuriya,83.0,48.0,35.0,79,178.0,1,28.0,1,16.0,19.0,35,116,125,241,0,318,22,Sri Lanka,0,9
Younis Khan,27.0,10.0,17.0,30,184.0,4,54.0,0,26.0,21.0,47,172,113,285,0,349,13,Pakistan,0,9
Shahid Afridi,0.0,0.0,0.0,0,184.0,4,54.0,0,26.0,21.0,47,172,113,285,0,349,13,Pakistan,0,9
Imran Nazir,135.0,88.0,47.0,112,184.0,4,54.0,0,26.0,21.0,47,172,113,285,0,349,13,Pakistan,0,9
Mohammad Sami,0.0,0.0,0.0,0,184.0,4,54.0,0,26.0,21.0,47,172,113,285,0,349,13,Pakistan,0,9
Iftikhar Anjum,0.0,0.0,0.0,0,184.0,4,54.0,0,26.0,21.0,47,172,113,285,0,349,13,Pakistan,0,9
TM Dilshan,21.0,4.0,17.0,25,123.0,4,31.0,0,12.0,19.0,31,64,121,185,0,254,27,Sri Lanka,0,9
LPC Silva,41.0,12.0,29.0,51,123.0,4,31.0,0,12.0,19.0,31,64,121,185,0,254,27,Sri Lanka,0,9
Harbhajan Singh,3.0,0.0,3.0,10,130.0,7,23.0,2,14.0,10.0,24,76,101,177,255,185,8,India,0,9
MM Patel,0.0,0.0,0.0,6,130.0,7,23.0,2,14.0,10.0,24,76,101,177,255,185,8,India,0,9
