Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Target,Runs Made,Team,Home
EJG Morgan,2.0,0.0,2.0,2,0.0,0,14.0,1,8,9,133,133,Ireland,0
NJ O'Brien,0.0,0.0,0.0,0,0.0,0,14.0,1,8,9,133,133,Ireland,0
WTS Porterfield,9.0,4.0,5.0,15,0.0,0,14.0,1,8,9,133,133,Ireland,0
CJ Chibhabha,2.0,0.0,2.0,11,0.0,0,5.0,2,12,6,0,202,Zimbabwe,0
BRM Taylor,2.0,0.0,2.0,12,0.0,0,5.0,2,12,6,0,202,Zimbabwe,0
S Matsikenyeri,0.0,0.0,0.0,0,0.0,0,5.0,2,12,6,0,202,Zimbabwe,0
CH Gayle,2.0,0.0,2.0,7,0.0,0,12.0,0,8,1,203,204,West Indies,1
S Chanderpaul,10.0,4.0,6.0,25,0.0,0,12.0,0,8,1,203,204,West Indies,1
ST Jayasuriya,13.0,10.0,3.0,15,0.0,0,19.0,0,22,14,0,318,Sri Lanka,0
WU Tharanga,6.0,0.0,6.0,17,0.0,0,19.0,0,22,14,0,318,Sri Lanka,0
Aftab Ahmed,0.0,0.0,0.0,2,0.0,0,7.0,2,12,6,319,112,Bangladesh,0
Mushfiqur Rahim,1.0,0.0,1.0,18,0.0,0,7.0,2,12,6,319,112,Bangladesh,0
Shakib Al Hasan,0.0,0.0,0.0,0,0.0,0,7.0,2,12,6,319,112,Bangladesh,0
Kamran Akmal,11.0,4.0,7.0,19,0.0,0,23.0,0,4,4,0,349,Pakistan,0
Imran Nazir,12.0,8.0,4.0,13,0.0,0,23.0,0,4,4,0,349,Pakistan,0
Shoaib Malik,0.0,0.0,0.0,0,0.0,0,23.0,0,4,4,0,349,Pakistan,0
F Kasteni,8.0,0.0,8.0,21,0.0,0,11.0,2,4,8,350,99,Zimbabwe,0
BRM Taylor,0.0,0.0,0.0,0,0.0,0,11.0,2,4,8,350,99,Zimbabwe,0
S Matsikenyeri,0.0,0.0,0.0,0,0.0,0,11.0,2,4,8,350,99,Zimbabwe,0
WU Tharanga,6.0,0.0,6.0,16,0.0,0,9.0,0,12,7,0,254,Sri Lanka,0
ST Jayasuriya,3.0,0.0,3.0,16,0.0,0,9.0,0,12,7,0,254,Sri Lanka,0
DPMD Jayawardene,0.0,0.0,0.0,0,0.0,0,9.0,0,12,7,0,254,Sri Lanka,0
SC Ganguly,4.0,0.0,4.0,9,0.0,0,18.0,0,12,10,255,185,India,0
RV Uthappa,14.0,12.0,2.0,21,0.0,0,18.0,0,12,10,255,185,India,0
V Sehwag,0.0,0.0,0.0,0,0.0,0,18.0,0,12,10,255,185,India,0
JP Bray,7.0,4.0,3.0,18,0.0,0,17.0,1,16,6,0,183,Ireland,0
EJG Morgan,10.0,6.0,4.0,11,0.0,0,17.0,1,16,6,0,183,Ireland,0
RR Sarwan,0.0,0.0,0.0,0,0.0,0,22.0,1,20,8,184,190,West Indies,1
S Chanderpaul,4.0,0.0,4.0,17,0.0,0,22.0,1,20,8,184,190,West Indies,1
ML Hayden,27.0,24.0,3.0,11,0.0,0,50.0,0,16,11,0,377,Australia,0
AC Gilchrist,23.0,16.0,7.0,19,0.0,0,50.0,0,16,11,0,377,Australia,0
AB de Villiers,22.0,18.0,4.0,19,0.0,0,37.0,0,26,7,378,294,South Africa,0
GC Smith,15.0,12.0,3.0,14,0.0,0,37.0,0,26,7,378,294,South Africa,0
ML Hayden,0.0,0.0,0.0,16,0.0,0,9.0,1,26,13,0,322,Australia,0
RT Ponting,2.0,0.0,2.0,5,0.0,0,9.0,1,26,13,0,322,Australia,0
RR Sarwan,2.0,0.0,2.0,3,0.0,0,8.0,1,4,3,323,219,West Indies,1
CH Gayle,1.0,0.0,1.0,16,0.0,0,8.0,1,4,3,323,219,West Indies,1
MN Samuels,0.0,0.0,0.0,0,0.0,0,8.0,1,4,3,323,219,West Indies,1
ST Jayasuriya,11.0,8.0,3.0,11,0.0,0,25.0,1,8,11,0,209,Sri Lanka,0
DPMD Jayawardene,2.0,0.0,2.0,6,0.0,0,25.0,1,8,11,0,209,Sri Lanka,0
GC Smith,17.0,12.0,5.0,18,0.0,0,23.0,1,8,13,210,212,South Africa,0
JH Kallis,6.0,0.0,6.0,9,0.0,0,23.0,1,8,13,210,212,South Africa,0
CH Gayle,1.0,0.0,1.0,12,0.0,0,5.0,0,12,7,0,177,West Indies,1
S Chanderpaul,4.0,0.0,4.0,20,0.0,0,5.0,0,12,7,0,177,West Indies,1
RR Sarwan,0.0,0.0,0.0,0,0.0,0,5.0,0,12,7,0,177,West Indies,1
HJH Marshall,9.0,4.0,5.0,17,0.0,0,15.0,1,12,8,178,179,New Zealand,0
SP Fleming,6.0,4.0,2.0,12,0.0,0,15.0,1,12,8,178,179,New Zealand,0
SB Styris,0.0,0.0,0.0,0,0.0,0,15.0,1,12,8,178,179,New Zealand,0
IR Bell,8.0,4.0,4.0,20,0.0,0,15.0,1,8,12,0,266,England,0
MP Vaughan,6.0,4.0,2.0,12,0.0,0,15.0,1,8,12,0,266,England,0
KP Pietersen,0.0,0.0,0.0,0,0.0,0,15.0,1,8,12,0,266,England,0
NJ O'Brien,0.0,0.0,0.0,2,0.0,0,7.0,2,8,19,267,218,Ireland,0
WTS Porterfield,5.0,0.0,5.0,21,0.0,0,7.0,2,8,19,267,218,Ireland,0
Shakib Al Hasan,7.0,6.0,1.0,7,0.0,0,22.0,2,4,11,0,104,Bangladesh,0
Aftab Ahmed,11.0,4.0,7.0,7,0.0,0,22.0,2,4,11,0,104,Bangladesh,0
Mohammad Ashraful,0.0,0.0,0.0,0,0.0,0,22.0,2,4,11,0,104,Bangladesh,0
