Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Target,Team,Home
AP Devcich,0,0,0,0,0,0,0,0,1,1,196,New Zealand,0
RJ Nicol,0,0,0,0,0,0,0,0,0,0,196,New Zealand,0
GD Elliott,0,0,0,0,0,0,0,0,2,2,196,New Zealand,0
DPMD Jayawardene,0,0,0,0,0,0,0,0,5,5,0,Sri Lanka,1
TM Dilshan,0,0,0,0,0,0,0,0,23,23,0,Sri Lanka,1
TWM Latham,0,0,0,0,0,0,0,0,9,9,120,New Zealand,0
AP Devcich,0,0,0,0,0,0,0,0,5,5,120,New Zealand,0
RJ Nicol,0,0,0,0,0,0,0,0,0,0,120,New Zealand,0
CH Gayle,0,0,0,0,0,0,0,0,0,0,0,West Indies,0
J Charles,0,0,0,0,0,0,0,0,12,12,0,West Indies,0
MN Samuels,0,0,0,0,0,0,0,0,9,9,0,West Indies,0
RG Sharma,0,0,0,0,0,0,0,0,11,11,193,India,1
S Dhawan,0,0,0,0,0,0,0,0,5,5,193,India,1
V Kohli,0,0,0,0,0,0,0,0,6,6,193,India,1
RG Sharma,0,0,0,0,0,0,0,0,12,12,0,India,1
S Dhawan,0,0,0,0,0,0,0,0,6,6,0,India,1
V Kohli,0,0,0,0,0,0,0,0,0,0,0,India,1
J Charles,0,0,0,0,0,0,0,0,12,12,280,West Indies,0
KOA Powell,0,0,0,0,0,0,0,0,3,3,280,West Indies,0
MN Samuels,0,0,0,0,0,0,0,0,0,0,280,West Indies,0
J Charles,0,0,0,0,0,0,0,0,11,11,0,West Indies,0
KOA Powell,0,0,0,0,0,0,0,0,9,9,0,West Indies,0
MN Samuels,0,0,0,0,0,0,0,0,0,0,0,West Indies,0
RG Sharma,0,0,0,0,0,0,0,0,4,4,257,India,1
S Dhawan,0,0,0,0,0,0,0,0,24,24,257,India,1
V Kohli,0,0,0,0,0,0,0,0,0,0,257,India,1
Nasir Jamshed,0,0,0,0,0,0,0,0,9,9,0,Pakistan,0
Ahmed Shehzad,0,0,0,0,0,0,0,0,6,6,0,Pakistan,0
GC Smith,0,0,0,0,0,0,0,0,12,12,194,South Africa,1
HM Amla,0,0,0,0,0,0,0,0,3,3,194,South Africa,1
Q de Kock,0,0,0,0,0,0,0,0,5,5,194,South Africa,1
JH Kallis,0,0,0,0,0,0,0,0,0,0,194,South Africa,1
Nasir Jamshed,0,0,0,0,0,0,0,0,2,2,0,Pakistan,0
Mohammad Hafeez,0,0,0,0,0,0,0,0,5,5,0,Pakistan,0
Ahmed Shehzad,0,0,0,0,0,0,0,0,9,9,0,Pakistan,0
HM Amla,0,0,0,0,0,0,0,0,8,8,244,South Africa,1
GC Smith,0,0,0,0,0,0,0,0,1,1,244,South Africa,1
Q de Kock,0,0,0,0,0,0,0,0,0,0,244,South Africa,1
Umar Amin,0,0,0,0,0,0,0,0,16,16,0,Pakistan,0
Ahmed Shehzad,0,0,0,0,0,0,0,0,0,0,0,Pakistan,0
Asad Shafiq,0,0,0,0,0,0,0,0,1,1,0,Pakistan,0
Sohaib Maqsood,0,0,0,0,0,0,0,0,1,1,0,Pakistan,0
Q de Kock,0,0,0,0,0,0,0,0,11,11,176,South Africa,1
HM Amla,0,0,0,0,0,0,0,0,23,23,176,South Africa,1
MDKJ Perera,0,0,0,0,0,0,0,0,20,20,0,Sri Lanka,0
TM Dilshan,0,0,0,0,0,0,0,0,3,3,0,Sri Lanka,0
KC Sangakkara,0,0,0,0,0,0,0,0,2,2,0,Sri Lanka,0
Anamul Haque,0,0,0,0,0,0,0,0,0,0,162,Bangladesh,1
Mominul Haque,0,0,0,0,0,0,0,0,11,11,162,Bangladesh,1
Shamsur Rahman,0,0,0,0,0,0,0,0,5,5,162,Bangladesh,1
MDKJ Perera,0,0,0,0,0,0,0,0,8,8,0,Sri Lanka,0
TM Dilshan,0,0,0,0,0,0,0,0,7,7,0,Sri Lanka,0
KC Sangakkara,0,0,0,0,0,0,0,0,10,10,0,Sri Lanka,0
Anamul Haque,0,0,0,0,0,0,0,0,5,5,215,Bangladesh,1
Shamsur Rahman,0,0,0,0,0,0,0,0,0,0,215,Bangladesh,1
Mominul Haque,0,0,0,0,0,0,0,0,1,1,215,Bangladesh,1
Anamul Haque,0,0,0,0,0,0,0,0,0,0,0,Bangladesh,1
Shamsur Rahman,0,0,0,0,0,0,0,0,13,13,0,Bangladesh,1
MDKJ Perera,0,0,0,0,0,0,0,0,7,7,240,Sri Lanka,0
HDRL Thirimanne,0,0,0,0,0,0,0,0,14,14,240,Sri Lanka,0
WTS Porterfield,0,0,0,0,0,0,0,0,1,1,0,Ireland,0
PR Stirling,0,0,0,0,0,0,0,0,4,4,0,Ireland,0
EC Joyce,0,0,0,0,0,0,0,0,2,2,0,Ireland,0
DR Smith,0,0,0,0,0,0,0,0,13,13,193,West Indies,1
KOA Powell,0,0,0,0,0,0,0,0,7,7,193,West Indies,1
MDKJ Perera,0,0,0,0,0,0,0,0,0,0,0,Sri Lanka,0
HDRL Thirimanne,0,0,0,0,0,0,0,0,6,6,0,Sri Lanka,0
WU Tharanga,0,0,0,0,0,0,0,0,3,3,0,Sri Lanka,0
