Batsman,Total Runs Scored,Home Runs,Milestones Reached, avg Balls Faced
DG Brownlie,45,4.0,0,13.0
Noor Ali Zadran,64,3.0,0,10.0
S Badrinath,19,1.0,0,17.0
JJ Tucker,38,6.0,0,12.0
DL Hemp,56,10.0,0,13.0
IA Karim,25,1.0,0,12.0
A Flintoff,47,6.0,0,7.0
ES Szwarczynski,38,5.0,0,13.0
JA Burns,23,2.0,0,15.0
G Gambhir,698,73.0,0,12.0
NJ Astle,52,8.0,0,15.0
Sarfraz Ahmed,66,6.0,0,9.0
HM Nicholls,19,2.0,0,15.0
S Chattergoon,54,10.0,0,18.0
Naeem Islam,8,1.0,0,8.0
Anamul Haque,143,14.0,0,14.0
RS Morton,66,4.0,0,11.0
KJ O'Brien,73,10.0,0,7.0
J Edness,12,1.0,0,13.0
CJO Smith,13,2.0,0,10.0
PW Borren,10,1.0,0,9.0
JD Ryder,224,32.0,0,11.0
MA Vermeulen,11,1.0,0,21.0
RV Uthappa,62,7.0,0,10.0
TC Bastiampillai,14,2.0,0,11.0
MN Waller,12,2.0,0,6.0
AJ Finch,251,26.0,0,12.0
ML Hayden,312,37.0,0,11.0
Shahid Afridi,48,5.0,0,6.0
SP Fleming,131,19.0,0,13.0
AD Poynter,15,2.0,0,10.0
JJ Roy,104,13.0,0,12.0
CO Obuya,52,4.0,0,9.0
BJ Watling,41,2.0,0,10.0
Kamran Akmal,329,39.0,0,13.0
SPD Smith,178,15.0,0,11.0
ME Trescothick,66,10.0,0,13.0
JJ Atkinson,10,1.0,0,10.0
Raza-ur-Rehman,16,3.0,0,10.0
JEC Franklin,16,2.0,0,6.0
Jahurul Islam,65,8.0,0,13.0
MS Atapattu,18,3.0,0,7.0
Junaid Siddique,151,14.0,0,10.0
Mohammad Shahzad,48,5.0,0,11.0
HH Dippenaar,23,3.0,0,15.0
RS Bopara,279,32.0,0,12.0
Shoaib Malik,185,21.0,0,11.0
Nasir Jamshed,219,23.0,0,12.0
MA Ouma,43,2.0,0,11.0
DC Thomas,5,1.0,0,3.0
R Gunasekera,32,3.0,0,9.0
MP Vaughan,61,10.0,0,11.0
Rizwan Cheema,13,2.0,0,5.0
MS Wade,101,9.0,0,12.0
D Daesrath,6,1.0,0,14.0
RD Berrington,18,2.0,0,8.0
KMDN Kulasekara,4,1.0,0,3.0
RG Aga,29,3.0,0,10.0
UT Khawaja,21,2.0,0,10.0
RR Sarwan,240,24.0,0,12.0
Q de Kock,318,35.0,0,12.0
Yasir Hameed,16,1.0,0,8.0
MJ Prior,152,18.0,0,11.0
DA Warner,354,34.0,0,13.0
LP van Troost,6,1.0,0,6.0
JJ Celestine,6,1.0,0,9.0
RT Ponting,740,98.0,0,12.0
MJ Clarke,519,47.0,0,10.0
RR Patel,16,2.0,0,9.0
IH Romaine,52,10.0,0,9.0
Krishna Chandran,11,2.0,0,7.0
GJ Maxwell,33,5.0,0,10.0
RJ Nicol,64,4.0,0,11.0
RJ Peterson,19,1.0,0,11.0
Usman Ghani,45,4.0,0,11.0
SO Tikolo,88,14.0,0,10.0
T Mishra,48,7.0,0,8.0
MR Marsh,13,1.0,0,13.0
DR Chumney,22,3.0,0,9.0
RN ten Doeschate,48,8.0,0,10.0
KD Karthik,138,18.0,0,9.0
DES Maxwell,13,1.0,0,13.0
S Randiv,9,2.0,0,15.0
JP Faulkner,25,5.0,0,9.0
Fawad Alam,28,2.0,0,11.0
JL Carter,56,6.0,0,14.0
F Behardien,20,3.0,0,9.0
P Mustard,41,5.0,0,13.0
Nasir Hossain,19,3.0,0,8.0
HH Gibbs,284,41.0,0,11.0
AL Kandappah,5,1.0,0,8.0
HJW Gardiner,31,4.0,0,11.0
CS MacLeod,14,1.0,0,8.0
FDM Karunaratne,11,2.0,0,5.0
AA Obanda,69,9.0,0,12.0
Misbah-ul-Haq,230,20.0,0,11.0
Shakib Al Hasan,288,35.0,0,10.0
Shahriar Nafees,196,33.0,0,13.0
HJH Marshall,11,1.0,0,6.0
MH Cross,16,2.0,0,14.0
Amjad Ali,59,9.0,0,13.0
Javed Omar,22,2.0,0,10.0
KS Williamson,479,45.0,0,13.0
Soumya Sarkar,101,14.0,0,11.0
LPC Silva,49,6.0,0,9.0
P Utseya,5,1.0,0,5.0
L Ronchi,29,3.0,0,7.0
BJ Haddin,363,47.0,0,14.0
LD Chandimal,240,25.0,0,12.0
AN Cook,554,57.0,0,12.0
BC Lara,88,11.0,0,12.0
RD Shah,34,5.0,0,14.0
PJ Hughes,101,10.0,0,12.0
PA Patel,100,11.0,0,12.0
KD Shah,11,2.0,0,10.0
RM Haq,11,1.0,0,8.0
