Team,Total Matches Played,Runs Scored,Wickets Lost,Got All Out,Runs Conceded,Opponent Wickets Taken,Opponent All Out,Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Target,Runs Made,Home,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played,ClusterID
South Africa,190,234.274,7.4,0.373684,232.363,7.33158,0.342105,RR Rossouw,0,0,0,0,148,3,34,0,22,13,400,250,1,3.80769,0.230769,31.3846,93.1507,26,0
South Africa,190,234.274,7.4,0.373684,232.363,7.33158,0.342105,AB de Villiers,32,8,24,49,95,3,15,0,4,17,0,262,1,5.04969,0.403727,47.2174,98.8428,161,4
South Africa,190,234.274,7.4,0.373684,232.363,7.33158,0.342105,JP Duminy,6,0,6,14,95,3,15,0,4,17,0,262,1,2.3252,0.186992,29.9675,80.2351,123,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,AD Hales,59,20,39,76,83,1,27,0,14,14,263,263,0,4.2963,0.296296,34.1111,85.1201,27,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,JE Root,37,8,29,62,83,1,27,0,14,14,263,263,0,3.68852,0.327869,41.6721,83.3443,61,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,EJG Morgan,0,0,0,0,83,1,27,0,14,14,263,263,0,3.19549,0.233083,30.0526,86.9291,133,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,AD Hales,56,24,32,72,91,1,45,0,12,10,0,318,0,4.2963,0.296296,34.1111,85.1201,27,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,JE Root,60,34,26,59,91,1,45,0,12,10,0,318,0,3.68852,0.327869,41.6721,83.3443,61,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,JC Buttler,0,0,0,0,91,1,45,0,12,10,0,318,0,3.47458,0.186441,29.9153,115.359,59,0
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,EJG Morgan,0,0,0,0,91,1,45,0,12,10,0,318,0,3.19549,0.233083,30.0526,86.9291,133,4
South Africa,190,234.274,7.4,0.373684,232.363,7.33158,0.342105,HM Amla,54,24,30,71,106,0,39,0,12,11,319,319,1,5.20168,0.403361,48.7899,86.9292,119,4
South Africa,190,234.274,7.4,0.373684,232.363,7.33158,0.342105,Q de Kock,91,58,33,82,106,0,39,0,12,11,319,319,1,5.12963,0.240741,39.1111,91.2311,54,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,JE Root,38,16,22,57,92,4,11,2,4,17,0,262,0,3.68852,0.327869,41.6721,83.3443,61,4
