Team,Total Matches Played,Runs Scored,Wickets Lost,Got All Out,Runs Conceded,Opponent Wickets Taken,Opponent All Out,Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Target,Runs Made,Home,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played,ClusterID
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,KC Sangakkara,13,4,9,26,15,1,15,1,12,18,0,236,0,4.33659,0.360976,41.9854,80.6276,205,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,LD Chandimal,1,0,1,9,15,1,15,1,12,18,0,236,0,2.18478,0.184783,25.7391,73.8615,92,4
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,G Gambhir,18,4,14,24,20,0,21,1,8,15,237,236,0,3.99145,0.333333,37.4701,84.1944,117,4
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,V Kohli,8,4,4,13,20,0,21,1,8,15,237,236,0,4.66456,0.379747,44.9937,88.3325,158,4
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,RG Sharma,0,0,0,0,20,0,21,1,8,15,237,236,0,3.82836,0.268657,35.9179,83.083,134,4
Australia,228,239.627,7.69737,0.372807,232.079,7.23246,0.337719,MS Wade,14,4,10,31,14,1,15,0,8,4,0,158,1,1.86275,0.117647,20.3333,78.2642,51,1
Australia,228,239.627,7.69737,0.372807,232.079,7.23246,0.337719,RT Ponting,2,0,2,8,14,1,15,0,8,4,0,158,1,4.17431,0.33945,38.1009,80.8606,109,4
Australia,228,239.627,7.69737,0.372807,232.079,7.23246,0.337719,PJ Forrest,0,0,0,0,14,1,15,0,8,4,0,158,1,2.71429,0.285714,26.2143,63.6049,14,4
Australia,228,239.627,7.69737,0.372807,232.079,7.23246,0.337719,MEK Hussey,0,0,0,0,14,1,15,0,8,4,0,158,1,2.7563,0.260504,34.084,82.4893,119,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,DPMD Jayawardene,22,4,18,26,38,0,25,0,12,14,159,152,0,3.20833,0.244792,31.6979,79.1109,192,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,TM Dilshan,41,22,19,36,38,0,25,0,12,14,159,152,0,4.60199,0.273632,38.3632,86.0219,201,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,KC Sangakkara,0,0,0,0,38,0,25,0,12,14,159,152,0,4.33659,0.360976,41.9854,80.6276,205,4
Australia,228,239.627,7.69737,0.372807,232.079,7.23246,0.337719,DA Warner,29,18,11,32,15,0,29,0,8,12,0,288,1,4.20312,0.265625,35.2031,87.7336,64,4
Australia,228,239.627,7.69737,0.372807,232.079,7.23246,0.337719,MS Wade,15,4,11,30,15,0,29,0,8,12,0,288,1,1.86275,0.117647,20.3333,78.2642,51,1
Australia,228,239.627,7.69737,0.372807,232.079,7.23246,0.337719,RT Ponting,0,0,0,0,15,0,29,0,8,12,0,288,1,4.17431,0.33945,38.1009,80.8606,109,4
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,SK Raina,10,4,6,15,13,2,17,1,0,13,289,178,0,3.11111,0.216374,28.9064,91.8944,171,0
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,V Kohli,12,0,12,24,13,2,17,1,0,13,289,178,0,4.66456,0.379747,44.9937,88.3325,158,4
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,MS Dhoni,0,0,0,0,13,2,17,1,0,13,289,178,0,3.47872,0.292553,36.7713,84.1612,188,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,DPMD Jayawardene,23,4,19,30,21,0,31,0,0,23,0,289,0,3.20833,0.244792,31.6979,79.1109,192,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,TM Dilshan,29,22,7,31,21,0,31,0,0,23,0,289,0,4.60199,0.273632,38.3632,86.0219,201,4
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,G Gambhir,20,8,12,29,27,1,15,1,8,11,290,238,0,3.99145,0.333333,37.4701,84.1944,117,4
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,V Kohli,0,0,0,7,27,1,15,1,8,11,290,238,0,4.66456,0.379747,44.9937,88.3325,158,4
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,SK Raina,0,0,0,0,27,1,15,1,8,11,290,238,0,3.11111,0.216374,28.9064,91.8944,171,0
Australia,228,239.627,7.69737,0.372807,232.079,7.23246,0.337719,PJ Forrest,18,8,10,28,21,1,20,1,6,13,0,280,1,2.71429,0.285714,26.2143,63.6049,14,4
Australia,228,239.627,7.69737,0.372807,232.079,7.23246,0.337719,MJ Clarke,11,10,1,12,21,1,20,1,6,13,0,280,1,3.10294,0.301471,35.9265,74.0303,136,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,KC Sangakkara,11,4,7,8,30,0,30,1,4,19,281,283,0,4.33659,0.360976,41.9854,80.6276,205,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,DPMD Jayawardene,46,26,20,44,30,0,30,1,4,19,281,283,0,3.20833,0.244792,31.6979,79.1109,192,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,LD Chandimal,0,0,0,0,30,0,30,1,4,19,281,283,0,2.18478,0.184783,25.7391,73.8615,92,4
Australia,228,239.627,7.69737,0.372807,232.079,7.23246,0.337719,DA Warner,25,12,13,22,9,1,27,1,8,21,0,252,1,4.20312,0.265625,35.2031,87.7336,64,4
Australia,228,239.627,7.69737,0.372807,232.079,7.23246,0.337719,MEK Hussey,3,0,3,13,9,1,27,1,8,21,0,252,1,2.7563,0.260504,34.084,82.4893,119,4
Australia,228,239.627,7.69737,0.372807,232.079,7.23246,0.337719,DJ Hussey,0,0,0,0,9,1,27,1,8,21,0,252,1,2.54386,0.245614,29.2105,87.8628,57,4
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,V Kohli,12,8,4,11,8,1,34,1,4,13,253,165,0,4.66456,0.379747,44.9937,88.3325,158,4
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,G Gambhir,11,8,3,26,8,1,34,1,4,13,253,165,0,3.99145,0.333333,37.4701,84.1944,117,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,TM Dilshan,22,8,14,33,20,0,19,0,4,18,0,320,0,4.60199,0.273632,38.3632,86.0219,201,4
