Team,Total Matches Played,Runs Scored,Wickets Lost,Got All Out,Runs Conceded,Opponent Wickets Taken,Opponent All Out,Match Index,Batsman,Player Total Runs,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment,Total HR till Segment,Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Home,Segment,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played,ClusterID
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,9,AJ Strauss,0,0,0,0,23,0,35,0,22,8,30,66,22,88,319,285,2,1,3,3.93243,0.27027,33.9054,79.8028,74,4
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,10,V Sehwag,32,18,14,30,21,1,37,0,20,9,29,54,33,87,0,245,3,0,3,5.88636,0.238636,38.8295,108.649,88,0
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,10,SK Raina,26,16,10,27,21,1,37,0,20,9,29,54,33,87,0,245,3,0,3,3.11111,0.216374,28.9064,91.8944,171,0
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,10,M Kaif,0,0,0,0,21,1,37,0,20,9,29,54,33,87,0,245,3,0,3,1.77778,0.222222,23.8889,61.4286,9,1
West Indies,176,217.33,7.15909,0.3125,225.278,7.57386,0.380682,10,CH Gayle,16,12,4,25,13,0,18,2,12,10,22,32,21,53,246,248,6,1,3,4.58621,0.206897,31.1293,89.4255,116,4
West Indies,176,217.33,7.15909,0.3125,225.278,7.57386,0.380682,10,RR Sarwan,4,4,0,3,13,0,18,2,12,10,22,32,21,53,246,248,6,1,3,2.8254,0.222222,29.1429,69.1005,63,4
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,11,R Dravid,8,4,4,26,14,1,13,1,4,9,13,16,24,40,0,217,5,0,3,2.83721,0.255814,29.8605,72.7067,43,4
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,11,Yuvraj Singh,1,0,1,2,14,1,13,1,4,9,13,16,24,40,0,217,5,0,3,4.05833,0.258333,32.525,83.8093,120,4
West Indies,176,217.33,7.15909,0.3125,225.278,7.57386,0.380682,11,BC Lara,0,0,0,4,25,1,20,1,8,7,15,46,14,60,218,218,10,1,3,3.35714,0.178571,29.3571,75.7604,28,4
West Indies,176,217.33,7.15909,0.3125,225.278,7.57386,0.380682,11,CH Gayle,30,26,4,37,25,1,20,1,8,7,15,46,14,60,218,218,10,1,3,4.58621,0.206897,31.1293,89.4255,116,4
