Match Index,Batsman,Player Total Runs ,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment, Total HR till Segment, Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Team,Home,Segment
16,EJG Morgan,2.0,0.0,2.0,8,0.0,0,15.0,1,16.0,9.0,25,26,14,40,0,221,4,Ireland,0,2
16,JP Bray,13.0,10.0,3.0,18,0.0,0,15.0,1,16.0,9.0,25,26,14,40,0,221,4,Ireland,0,2
16,NJ O'Brien,0.0,0.0,0.0,0,0.0,0,15.0,1,16.0,9.0,25,26,14,40,0,221,4,Ireland,0,2
16,T Duffin,12.0,8.0,4.0,17,0.0,0,23.0,0,16.0,6.0,22,28,17,45,222,221,5,Zimbabwe,0,2
16,V Sibanda,11.0,4.0,7.0,16,0.0,0,23.0,0,16.0,6.0,22,28,17,45,222,221,5,Zimbabwe,0,2
16,CJ Chibhabha,0.0,0.0,0.0,0,0.0,0,23.0,0,16.0,6.0,22,28,17,45,222,221,5,Zimbabwe,0,2
18,IR Bell,4.0,0.0,4.0,15,0.0,0,7.0,1,8.0,9.0,17,8,16,24,0,209,7,England,0,2
18,MP Vaughan,3.0,0.0,3.0,18,0.0,0,7.0,1,8.0,9.0,17,8,16,24,0,209,7,England,0,2
18,KP Pietersen,0.0,0.0,0.0,0,0.0,0,7.0,1,8.0,9.0,17,8,16,24,0,209,7,England,0,2
18,CD McMillan,0.0,0.0,0.0,0,0.0,0,16.0,3,12.0,12.0,24,24,16,40,210,210,6,New Zealand,0,2
18,SB Styris,9.0,8.0,1.0,12,0.0,0,16.0,3,12.0,12.0,24,24,16,40,210,210,6,New Zealand,0,2
19,Imran Nazir,11.0,4.0,7.0,21,0.0,0,19.0,2,4.0,6.0,10,16,13,29,0,132,14,Pakistan,0,2
19,Mohammad Yousuf,4.0,4.0,0.0,4,0.0,0,19.0,2,4.0,6.0,10,16,13,29,0,132,14,Pakistan,0,2
19,EJG Morgan,2.0,0.0,2.0,2,0.0,0,14.0,1,8.0,9.0,17,12,19,31,133,133,1,Ireland,0,2
19,NJ O'Brien,0.0,0.0,0.0,0,0.0,0,14.0,1,8.0,9.0,17,12,19,31,133,133,1,Ireland,0,2
19,WTS Porterfield,9.0,4.0,5.0,15,0.0,0,14.0,1,8.0,9.0,17,12,19,31,133,133,1,Ireland,0,2
23,CJ Chibhabha,2.0,0.0,2.0,11,0.0,0,5.0,2,12.0,6.0,18,12,11,23,0,202,9,Zimbabwe,0,2
23,BRM Taylor,2.0,0.0,2.0,12,0.0,0,5.0,2,12.0,6.0,18,12,11,23,0,202,9,Zimbabwe,0,2
23,S Matsikenyeri,0.0,0.0,0.0,0,0.0,0,5.0,2,12.0,6.0,18,12,11,23,0,202,9,Zimbabwe,0,2
23,CH Gayle,2.0,0.0,2.0,7,0.0,0,12.0,0,8.0,1.0,9,12,9,21,203,204,11,West Indies,1,2
23,S Chanderpaul,10.0,4.0,6.0,25,0.0,0,12.0,0,8.0,1.0,9,12,9,21,203,204,11,West Indies,1,2
26,ST Jayasuriya,13.0,10.0,3.0,15,0.0,0,19.0,0,22.0,14.0,36,32,23,55,0,318,8,Sri Lanka,0,2
26,WU Tharanga,6.0,0.0,6.0,17,0.0,0,19.0,0,22.0,14.0,36,32,23,55,0,318,8,Sri Lanka,0,2
26,Aftab Ahmed,0.0,0.0,0.0,2,0.0,0,7.0,2,12.0,6.0,18,16,9,25,319,112,1,Bangladesh,0,2
26,Mushfiqur Rahim,1.0,0.0,1.0,18,0.0,0,7.0,2,12.0,6.0,18,16,9,25,319,112,1,Bangladesh,0,2
26,Shakib Al Hasan,0.0,0.0,0.0,0,0.0,0,7.0,2,12.0,6.0,18,16,9,25,319,112,1,Bangladesh,0,2
27,Kamran Akmal,11.0,4.0,7.0,19,0.0,0,23.0,0,4.0,4.0,8,16,15,31,0,349,3,Pakistan,0,2
27,Imran Nazir,12.0,8.0,4.0,13,0.0,0,23.0,0,4.0,4.0,8,16,15,31,0,349,3,Pakistan,0,2
27,Shoaib Malik,0.0,0.0,0.0,0,0.0,0,23.0,0,4.0,4.0,8,16,15,31,0,349,3,Pakistan,0,2
27,F Kasteni,8.0,0.0,8.0,21,0.0,0,11.0,2,4.0,8.0,12,4,19,23,350,99,2,Zimbabwe,0,2
27,BRM Taylor,0.0,0.0,0.0,0,0.0,0,11.0,2,4.0,8.0,12,4,19,23,350,99,2,Zimbabwe,0,2
27,S Matsikenyeri,0.0,0.0,0.0,0,0.0,0,11.0,2,4.0,8.0,12,4,19,23,350,99,2,Zimbabwe,0,2
29,WU Tharanga,6.0,0.0,6.0,16,0.0,0,9.0,0,12.0,7.0,19,12,16,28,0,254,16,Sri Lanka,0,2
29,ST Jayasuriya,3.0,0.0,3.0,16,0.0,0,9.0,0,12.0,7.0,19,12,16,28,0,254,16,Sri Lanka,0,2
29,DPMD Jayawardene,0.0,0.0,0.0,0,0.0,0,9.0,0,12.0,7.0,19,12,16,28,0,254,16,Sri Lanka,0,2
29,SC Ganguly,4.0,0.0,4.0,9,0.0,0,18.0,0,12.0,10.0,22,24,16,40,255,185,2,India,0,2
29,RV Uthappa,14.0,12.0,2.0,21,0.0,0,18.0,0,12.0,10.0,22,24,16,40,255,185,2,India,0,2
29,V Sehwag,0.0,0.0,0.0,0,0.0,0,18.0,0,12.0,10.0,22,24,16,40,255,185,2,India,0,2
30,JP Bray,7.0,4.0,3.0,18,0.0,0,17.0,1,16.0,6.0,22,26,13,39,0,183,9,Ireland,0,2
30,EJG Morgan,10.0,6.0,4.0,11,0.0,0,17.0,1,16.0,6.0,22,26,13,39,0,183,9,Ireland,0,2
