Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Target,Team,Home
AB de Villiers,0,0,0,0,0,0,0,0,4,3,0,South Africa,0
GC Smith,0,0,0,0,0,0,0,0,0,6,0,South Africa,0
CH Gayle,0,0,0,0,0,0,0,0,0,5,283,West Indies,1
S Chanderpaul,0,0,0,0,0,0,0,0,0,4,283,West Indies,1
DS Smith,0,0,0,0,0,0,0,0,4,7,283,West Indies,1
PG Fulton,0,0,0,0,0,0,0,0,0,3,0,New Zealand,0
SP Fleming,0,0,0,0,0,0,0,0,0,0,0,New Zealand,0
LRPL Taylor,0,0,0,0,0,0,0,0,0,0,0,New Zealand,0
SB Styris,0,0,0,0,0,0,0,0,0,0,0,New Zealand,0
WU Tharanga,0,0,0,0,0,0,0,0,4,7,197,Sri Lanka,0
ST Jayasuriya,0,0,0,0,0,0,0,0,4,1,197,Sri Lanka,0
KC Sangakkara,0,0,0,0,0,0,0,0,0,2,197,Sri Lanka,0
JP Bray,0,0,0,0,0,0,0,0,0,1,0,Ireland,0
WTS Porterfield,0,0,0,0,0,0,0,0,0,1,0,Ireland,0
EJG Morgan,0,0,0,0,0,0,0,0,0,0,0,Ireland,0
NJ O'Brien,0,0,0,0,0,0,0,0,0,0,0,Ireland,0
KJ O'Brien,0,0,0,0,0,0,0,0,8,0,0,Ireland,0
AR White,0,0,0,0,0,0,0,0,0,1,0,Ireland,0
AC Gilchrist,0,0,0,0,0,0,0,0,12,12,80,Australia,0
MEK Hussey,0,0,0,0,0,0,0,0,0,6,80,Australia,0
GC Smith,0,0,0,0,0,0,0,0,0,1,0,South Africa,0
JH Kallis,0,0,0,0,0,0,0,0,0,2,0,South Africa,0
AB de Villiers,0,0,0,0,0,0,0,0,0,0,0,South Africa,0
HH Gibbs,0,0,0,0,0,0,0,0,0,0,0,South Africa,0
PG Fulton,0,0,0,0,0,0,0,0,4,3,185,New Zealand,0
SP Fleming,0,0,0,0,0,0,0,0,0,4,185,New Zealand,0
WTS Porterfield,0,0,0,0,0,0,0,0,4,10,0,Ireland,0
JP Bray,0,0,0,0,0,0,0,0,0,5,0,Ireland,0
Tamim Iqbal,0,0,0,0,0,0,0,0,0,2,148,Bangladesh,0
Shahriar Nafees,0,0,0,0,0,0,0,0,4,3,148,Bangladesh,0
WU Tharanga,0,0,0,0,0,0,0,0,0,5,0,Sri Lanka,0
ST Jayasuriya,0,0,0,0,0,0,0,0,8,4,0,Sri Lanka,0
KC Sangakkara,0,0,0,0,0,0,0,0,0,0,0,Sri Lanka,0
AC Gilchrist,0,0,0,0,0,0,0,0,4,5,224,Australia,0
ML Hayden,0,0,0,0,0,0,0,0,4,0,224,Australia,0
IR Bell,0,0,0,0,0,0,0,0,4,1,0,England,0
MP Vaughan,0,0,0,0,0,0,0,0,0,0,0,England,0
AB de Villiers,0,0,0,0,0,0,0,0,20,7,149,South Africa,0
GC Smith,0,0,0,0,0,0,0,0,0,15,149,South Africa,0
JP Bray,0,0,0,0,0,0,0,0,4,1,0,Ireland,0
WTS Porterfield,0,0,0,0,0,0,0,0,0,5,0,Ireland,0
WU Tharanga,0,0,0,0,0,0,0,0,0,0,74,Sri Lanka,0
ST Jayasuriya,0,0,0,0,0,0,0,0,14,3,74,Sri Lanka,0
KC Sangakkara,0,0,0,0,0,0,0,0,4,6,74,Sri Lanka,0
DPMD Jayawardene,0,0,0,0,0,0,0,0,4,2,74,Sri Lanka,0
CH Gayle,0,0,0,0,0,0,0,0,0,1,0,West Indies,1
DS Smith,0,0,0,0,0,0,0,0,0,5,0,West Indies,1
MN Samuels,0,0,0,0,0,0,0,0,0,0,0,West Indies,1
S Chanderpaul,0,0,0,0,0,0,0,0,4,2,0,West Indies,1
Javed Omar,0,0,0,0,0,0,0,0,0,1,122,Bangladesh,0
Tamim Iqbal,0,0,0,0,0,0,0,0,0,2,122,Bangladesh,0
AC Gilchrist,0,0,0,0,0,0,0,0,0,1,0,Australia,0
ML Hayden,0,0,0,0,0,0,0,0,12,3,0,Australia,0
RT Ponting,0,0,0,0,0,0,0,0,12,2,0,Australia,0
PG Fulton,0,0,0,0,0,0,0,0,4,9,125,New Zealand,0
SP Fleming,0,0,0,0,0,0,0,0,10,2,125,New Zealand,0
LRPL Taylor,0,0,0,0,0,0,0,0,0,3,125,New Zealand,0
WU Tharanga,0,0,0,0,0,0,0,0,12,3,0,Sri Lanka,0
ST Jayasuriya,0,0,0,0,0,0,0,0,0,1,0,Sri Lanka,0
KC Sangakkara,0,0,0,0,0,0,0,0,0,5,0,Sri Lanka,0
PG Fulton,0,0,0,0,0,0,0,0,0,5,188,New Zealand,0
SP Fleming,0,0,0,0,0,0,0,0,0,1,188,New Zealand,0
LRPL Taylor,0,0,0,0,0,0,0,0,0,0,188,New Zealand,0
GC Smith,0,0,0,0,0,0,0,0,0,2,0,South Africa,0
AB de Villiers,0,0,0,0,0,0,0,0,4,0,0,South Africa,0
JH Kallis,0,0,0,0,0,0,0,0,0,1,0,South Africa,0
AC Gilchrist,0,0,0,0,0,0,0,0,0,1,143,Australia,0
ML Hayden,0,0,0,0,0,0,0,0,4,3,143,Australia,0
RT Ponting,0,0,0,0,0,0,0,0,16,1,143,Australia,0
AC Gilchrist,0,0,0,0,0,0,0,0,14,5,0,Australia,0
ML Hayden,0,0,0,0,0,0,0,0,4,2,0,Australia,0
WU Tharanga,0,0,0,0,0,0,0,0,4,2,201,Sri Lanka,0
ST Jayasuriya,0,0,0,0,0,0,0,0,4,0,201,Sri Lanka,0
KC Sangakkara,0,0,0,0,0,0,0,0,4,2,201,Sri Lanka,0
T Duffin,0,0,0,0,0,0,0,0,4,7,0,Zimbabwe,1
V Sibanda,0,0,0,0,0,0,0,0,12,3,0,Zimbabwe,1
Rajin Saleh,0,0,0,0,0,0,0,0,0,0,192,Bangladesh,0
Shahriar Nafees,0,0,0,0,0,0,0,0,8,5,192,Bangladesh,0
GC Smith,0,0,0,0,0,0,0,0,0,1,0,South Africa,1
LE Bosman,0,0,0,0,0,0,0,0,4,4,0,South Africa,1
JH Kallis,0,0,0,0,0,0,0,0,4,5,0,South Africa,1
W Jaffer,0,0,0,0,0,0,0,0,0,0,89,India,0
M Kaif,0,0,0,0,0,0,0,0,0,0,89,India,0
SR Tendulkar,0,0,0,0,0,0,0,0,8,8,89,India,0
GC Smith,0,0,0,0,0,0,0,0,0,0,0,South Africa,1
JH Kallis,0,0,0,0,0,0,0,0,0,0,0,South Africa,1
HH Gibbs,0,0,0,0,0,0,0,0,8,1,0,South Africa,1
LE Bosman,0,0,0,0,0,0,0,0,0,0,0,South Africa,1
V Sehwag,0,0,0,0,0,0,0,0,0,0,164,India,0
R Dravid,0,0,0,0,0,0,0,0,0,5,164,India,0
SR Tendulkar,0,0,0,0,0,0,0,0,0,2,164,India,0
M Kaif,0,0,0,0,0,0,0,0,0,0,164,India,0
GC Smith,0,0,0,0,0,0,0,0,0,0,0,South Africa,1
JH Kallis,0,0,0,0,0,0,0,0,4,3,0,South Africa,1
LE Bosman,0,0,0,0,0,0,0,0,0,0,0,South Africa,1
HH Gibbs,0,0,0,0,0,0,0,0,0,0,0,South Africa,1
W Jaffer,0,0,0,0,0,0,0,0,8,2,152,India,0
V Sehwag,0,0,0,0,0,0,0,0,8,4,152,India,0
V Sehwag,0,0,0,0,0,0,0,0,8,2,0,India,0
SR Tendulkar,0,0,0,0,0,0,0,0,0,1,0,India,0
AB de Villiers,0,0,0,0,0,0,0,0,8,6,188,South Africa,1
GC Smith,0,0,0,0,0,0,0,0,8,0,188,South Africa,1
AC Gilchrist,0,0,0,0,0,0,0,0,16,5,0,Australia,1
ML Hayden,0,0,0,0,0,0,0,0,0,5,0,Australia,1
BB McCullum,0,0,0,0,0,0,0,0,4,1,175,New Zealand,0
NJ Astle,0,0,0,0,0,0,0,0,0,0,175,New Zealand,0
SP Fleming,0,0,0,0,0,0,0,0,0,5,175,New Zealand,0
LRPL Taylor,0,0,0,0,0,0,0,0,0,0,175,New Zealand,0
AC Gilchrist,0,0,0,0,0,0,0,0,12,1,0,Australia,1
ML Hayden,0,0,0,0,0,0,0,0,0,3,0,Australia,1
L Vincent,0,0,0,0,0,0,0,0,4,4,309,New Zealand,0
SP Fleming,0,0,0,0,0,0,0,0,0,4,309,New Zealand,0
L Vincent,0,0,0,0,0,0,0,0,0,7,0,New Zealand,0
SP Fleming,0,0,0,0,0,0,0,0,4,5,0,New Zealand,0
PG Fulton,0,0,0,0,0,0,0,0,0,1,0,New Zealand,0
AC Gilchrist,0,0,0,0,0,0,0,0,8,6,279,Australia,1
ML Hayden,0,0,0,0,0,0,0,0,8,4,279,Australia,1
AJ Strauss,0,0,0,0,0,0,0,0,4,8,0,England,0
MP Vaughan,0,0,0,0,0,0,0,0,4,2,0,England,0
AC Gilchrist,0,0,0,0,0,0,0,0,8,6,228,Australia,1
